,name,type,location
0,런던 베이글 뮤지엄,베이커리,서울특별시 종로구 북촌로4길 20
1,몰또 이탈리안 에스프레소바,"카페,디저트",서울특별시 중구 명동길 73 3층
2,난포,한식,서울특별시 성동구 서울숲4길 18-8 지층
3,쌤쌤쌤,음식점>양식>양식,서울특별시 용산구 한강대로50길 25 1층
4,스태픽스,"카페,디저트",서울특별시 종로구 사직로9길 22 102호
5,서울앵무새,"카페,디저트",서울특별시 성동구 서울숲9길 3 B1~2F
6,청수당,"카페,디저트",서울특별시 종로구 돈화문로11나길 31-9
7,송계옥,닭요리,"서울특별시 송파구 올림픽로32길 38 1층 103,104호"
8,쵸리상경,한식,서울특별시 성동구 서울숲4길 18-8 2층 쵸리상경
9,금돼지식당,돼지고기구이,서울특별시 중구 다산로 149
10,오제제,일식당,서울특별시 용산구 한강대로 363-2 1층
11,제스티살룬 성수,햄버거,서울특별시 성동구 서울숲2길 19 2층 제스티살룬
12,꽁티드툴레아,브런치,서울특별시 강남구 도산대로49길 39
13,카페 페퍼,"카페,디저트",서울특별시 송파구 백제고분로45길 12
14,Approach,브런치,서울특별시 용산구 한강대로40길 18-3 Approach
15,진작다이닝,퓨전음식,서울특별시 성동구 왕십리로14나길 10
16,온천집,샤브샤브,서울특별시 종로구 돈화문로11나길 31-8
17,하니칼국수,한식,서울특별시 중구 퇴계로 411-15
18,진저베어,"카페,디저트",서울특별시 송파구 백제고분로41길 43-7 1층
19,소금집델리 안국,샌드위치,서울특별시 종로구 북촌로4길 19 1층
20,핫쵸,일식당,서울특별시 강남구 도산대로15길 32-10 지하 1층
21,남영돈,돼지고기구이,서울특별시 용산구 한강대로80길 17
22,라무라,일식당,서울특별시 마포구 포은로 21 1층 라무라
23,파롤앤랑그,"카페,디저트",서울특별시 마포구 성미산로29안길 8 파롤앤랑그
24,송계옥 성수점,닭요리,서울특별시 성동구 아차산로11길 11 1층 101-103호
25,미쁘동,일식당,서울특별시 마포구 동교로38길 33-21 2층
26,이속우화,한식,서울특별시 용산구 한남대로20길 61 지1층 이속우화
27,솔솥 연남점,한식,"서울특별시 마포구 동교로38길 35 지1층 2호, 3호"
28,오레노라멘 본점,일본식라면,서울특별시 마포구 독막로6길 14
29,LOWIDE,"카페,디저트",서울특별시 성동구 서울숲2길 22-1
30,오스테리아 오르조,음식점>양식>양식,서울특별시 용산구 한남대로20길 47
31,단디,덮밥,서울특별시 송파구 백제고분로45길 7
32,칸다소바 경복궁점,일본식라면,서울특별시 종로구 자하문로7길 5 1층
33,우와,일식당,서울특별시 강남구 강남대로158길 17 1층
34,누데이크 하우스 도산,"카페,디저트",서울특별시 강남구 압구정로46길 50 하우스 도산 B1
35,오파토,브런치,서울특별시 용산구 신흥로12길 1 1층
36,고트델리 서촌,샌드위치,서울특별시 종로구 필운대로5가길 13 1층
37,연하동,일식당,서울특별시 마포구 연남로 6
38,위트앤미트 강남점,샌드위치,서울특별시 강남구 강남대로110길 32 1층
39,더 스팟 패뷸러스,"카페,디저트",서울특별시 중구 명동2길 22 1.2층
40,카페레이어드 안국점,베이커리,서울특별시 종로구 북촌로2길 2-3
41,호족반,한식,서울특별시 강남구 언주로164길 39 1층
42,파이프그라운드,피자,서울특별시 용산구 한남대로27길 66 지하1층
43,어글리베이커리,베이커리,서울특별시 마포구 월드컵로13길 73 1층 어글리 베이커리
44,르프리크,햄버거,서울특별시 성동구 연무장5길 9-16 블루스톤타워 B103
45,서촌스코프,"카페,디저트",서울특별시 종로구 필운대로5가길 31 1층 SCOFF
46,우동 카덴,"우동,소바",서울특별시 마포구 양화로7안길 2-1
47,해목,일식당,서울특별시 강남구 선릉로145길 14
48,아루히,일식당,서울특별시 영등포구 여의나루로 42 2층
49,단디 연남점,덮밥,서울특별시 마포구 동교로 265 1층
50,리틀넥 한남,이탈리아음식,서울특별시 용산구 한남대로27길 66 1층
51,어니언 안국,"카페,디저트",서울특별시 종로구 계동길 5 카페 어니언
52,올드페리도넛,"카페,디저트",서울특별시 용산구 한남대로27길 66 2층
53,리틀넥 청담,이탈리아음식,서울특별시 강남구 도산대로51길 17
54,kuna,이탈리아음식,서울특별시 성동구 연무장5길 9-16 105호
55,달마시안,음식점>양식>양식,서울특별시 강남구 압구정로42길 42
56,소점,일식당,서울특별시 마포구 성미산로17길 99
57,효뜨,베트남음식,서울특별시 용산구 한강대로40가길 6 1층 2층
58,카츠바이콘반,일식당,서울특별시 강남구 선릉로153길 36
