,name,type,address,latitude,longitude
0,런던 베이글 뮤지엄,베이커리,서울특별시 종로구 북촌로4길 20,37.5792893,126.9861472
1,몰또 이탈리안 에스프레소바,"카페,디저트",서울특별시 중구 명동길 73,37.564327,126.9860873
2,난포,한식,서울특별시 성동구 서울숲4길 18-8,37.5470545,127.0424257
3,쌤쌤쌤,음식점>양식>양식,서울특별시 용산구 한강대로50길 25,37.5316987,126.9718147
4,스태픽스,"카페,디저트",서울특별시 종로구 사직로9길 22,37.57744145,126.9678099
5,서울앵무새,"카페,디저트",서울특별시 성동구 서울숲9길 3,37.5494454,127.0436973
6,청수당,"카페,디저트",서울특별시 종로구 돈화문로11나길 31-9,37.5735683,126.9905822
7,송계옥,닭요리,서울특별시 송파구 올림픽로32길 38,37.5130764,127.1103198
8,쵸리상경,한식,서울특별시 성동구 서울숲4길 18-8,37.5470545,127.0424257
9,금돼지식당,돼지고기구이,서울특별시 중구 다산로 149,37.5629975,127.0153812
10,오제제,일식당,서울특별시 용산구 한강대로 363-2,37.5220287,126.9616919
11,제스티살룬 성수,햄버거,서울특별시 성동구 서울숲2길 19,37.5474233,127.0411674
12,꽁티드툴레아,브런치,서울특별시 강남구 도산대로49길 39,37.5237482,127.0377675
13,카페 페퍼,"카페,디저트",서울특별시 송파구 백제고분로45길 12,37.5098718,127.1091841
14,Approach,브런치,서울특별시 용산구 한강대로40길 18-3,37.5304314,126.9706468
15,진작다이닝,퓨전음식,서울특별시 성동구 왕십리로14나길 10,37.5492954,127.045663
16,온천집,샤브샤브,서울특별시 종로구 돈화문로11나길 31-8,37.5735683,126.9905822
17,하니칼국수,한식,서울특별시 중구 퇴계로 411-15,37.5611737,126.9886592
18,진저베어,"카페,디저트",서울특별시 송파구 백제고분로41길 43-7,37.508209,127.1068123
19,소금집델리 안국,샌드위치,서울특별시 종로구 북촌로4길 19,37.5792893,126.9861472
20,핫쵸,일식당,서울특별시 강남구 도산대로15길 32-10,37.519595,127.0238249
21,남영돈,돼지고기구이,서울특별시 용산구 한강대로80길 17,37.5426112,126.9735553
22,라무라,일식당,서울특별시 마포구 포은로 21,37.5562777,126.9047718
23,파롤앤랑그,"카페,디저트",서울특별시 마포구 성미산로29안길 8,37.5651308,126.922954
24,송계옥 성수점,닭요리,서울특별시 성동구 아차산로11길 11,37.5457316,127.059965
25,미쁘동,일식당,서울특별시 마포구 동교로38길 33-21,37.561733,126.9254562
26,이속우화,한식,서울특별시 용산구 한남대로20길 61,37.534943,127.0102326
27,솔솥 연남점,한식,서울특별시 마포구 동교로38길 35,37.561733,126.9254562
28,오레노라멘 본점,일본식라면,서울특별시 마포구 독막로6길 14,37.5469845,126.9172184
