,name,address,longitude,latitude
0,수락산,서울특별시 노원구 동일로 1669,127.0734496,37.6242653
1,고려대,서울 성북구 고려대로 24길 20,37.585349,127.029189
2,가락시장,서울시 송파구 중대로 109 (대동빌딩 1층),127.13288,37.50753
3,망원한강공원,서울 마포구 마포나루길 407,37.5535557,126.897459
4,가산그레이트밸리,서울 금천구 디지털로9길 32,126.88525,37.48195
5,서울시립대학교,서울특별시 동대문구 서울시립대로 163,127.05917537929685,37.58302005
6,방학역,서울특별시 도봉구 도봉로 684,127.0455927,37.6806064
7,덕성여대,서울특별시 도봉구 삼양로 538,127.0142841,37.6568276
8,중곡역,서울시 광진구 중곡동 30-80,127.078978,37.5536366
9,충무로,서울 중구 퇴계로 197,126.9886592,37.5611737
10,신림,서울 관악구 신림로 318,126.9387142,37.470773
11,은평구청,서울시 은평구 은평로 200-1,126.9166034,37.5992011
12,중계은행사거리,서울특별시 노원구 한글비석로 269,127.07371,37.65887
13,테헤란로,서울특별시 강남구 테헤란로 314 지하1층,127.0565359,37.5069402
14,상봉역,서울특별시 중랑구 망우로 316,127.08767114880168,37.596531999999996
15,신정네거리역,서울특별시 양천구 중앙로 265,126.8517014,37.5226024
16,애오개역,서울특별시 마포구 마포대로 180,126.9434293,37.5379407
17,정릉,서울 성북구 보국문로 40,127.01022,37.6083633
18,신금호역,서울 성동구 금호로 173,127.0245086,37.5451699
19,천호역,서울 강동구 천호대로 1012,127.1265483,37.5377854
20,학동역,서울 강남구 학동로 171,127.056947,37.5199698
21,노량진역,서울 동작구 노량진로 152-1,126.9543166,37.5125967
22,상일동,서울특별시 강동구 상일로6길 21,127.1772325,37.5502896
23,구로NC,서울특별시 구로구 구로중앙로 152,126.87479,37.50727
24,묵동,서울특별시 중랑구 동일로 952 101-1호,127.0758096,37.6157847
25,등촌역,서울특별시 양천구 공항대로 552 101호,126.8670227,37.54955
26,수서역,서울특별시 강남구 밤고개로 1길 10,37.4879932,127.101744
27,길동역,"서울특별시 강동구 길동 389-2 길동 1층 103,110호",127.14703,37.53736
28,석촌역,"서울특별시 송파구 송파대로 438 106호, 107호",127.0985477,37.5150248
29,쌍문역,"서울특별시 도봉구 도봉로 468 1층 102호, 102-1호",127.0455927,37.6806064
30,명지대,서울특별시 서대문구 거북골로 23,126.9081221,37.5789414
31,삼양솔샘,서울특별시 강북구 삼양로 162,127.02163929170591,37.61841975
32,낙성대역,서울특별시 관악구 남부순환로 1904,126.96068118423008,37.477946849999995
33,봉은사역,서울특별시 강남구 봉은사로 627,127.05643,37.5135682
34,석촌호수,서울특별시 송파구 석촌호수로 298,127.1082504,37.5116813
35,대림삼거리,서울특별시 영등포구 시흥대로 681 삼성YJ그랜드빌딩 신관동 1층,126.9091454,37.4923428
36,왕십리역,서울특별시 성동구 왕십리로 328,127.0333767,37.5627884
37,포이사거리,서울특별시 강남구 논현로 84 1층,127.0361212,37.5025503
38,동덕여대,서울특별시 성북구 화랑로13길 10,127.0408928,37.6071978
39,당산역,서울특별시 영등포구 양평로 58,126.9000655,37.534826
40,송파역,서울특별시 송파구 송파대로 374,127.0985477,37.5150248
41,선유도역,서울특별시 영등포구 양평로 121,126.9000655,37.534826
42,잠실역,서울특별시 송파구 올림픽로 293-19,127.1176179,37.5255478
43,독립문,서울특별시 종로구 송월길 155 경희궁자이4단지 상가 1층 4104-4106호,126.9654458,37.5704666
44,가양역,서울특별시 강서구 양천로 470 그레이스힐,126.8167715,37.5733438
45,양천향교역,"서울특별시 강서구 강서로 471 엠코지니어스타 A동 1층 109, 110호",126.8481558,37.5292654
46,정동,서울특별시 중구 새문안로 30,126.9671166,37.5661569
47,여의도화재보험,서울특별시 영등포구 국제금융로 6길 38,37.5215111,126.926304
48,선정릉역,서울특별시 강남구 봉은사로 328,127.05643,37.5135682
49,약수역,서울특별시 중구 다산로 153,127.0153812,37.5629975
50,동대문역,서울특별시 종로구 종로 263-1,127.0038782,37.5710709
51,장안사거리,서울특별시 동대문구 답십리로 293,127.04673,37.57646
52,군자역,서울특별시 광진구 능동로 290 삼일빌딩,127.0772581,37.5529046
53,신설동역,서울특별시 동대문구 왕산로 15-1,127.05237,37.58674
54,동양미래대,서울특별시 구로구 경인로 445 동양미래대 8호관,126.8909341,37.5104891
55,고덕역,서울특별시 강동구 동남로 75길 13-10,37.5538798,127.155045
56,상암DMC푸르지오시티,서울특별시 마포구 월드컵북로54길 25 상암DMC 푸르지오시티 103호,126.889349,37.5813028
57,광장,서울특별시 광진구 아차산로 480,127.105331,37.5461477
58,신논현,서울특별시 서초구 강남대로 499,127.0248247,37.5034796
59,압구정역,서울특별시 강남구 압구정로 28길 13,37.5256676,127.027832
60,서초법원,서울특별시 서초구 법원로1길 1,127.0094331,37.4930819
61,선릉,서울특별시 강남구 테헤란로 337,127.0565359,37.5069402
62,가산디지털단지,서울특별시 금천구 가산디지털1로 165 가산비지니스센터 102호,126.88714,37.46781
63,언주역,서울특별시 강남구 봉은사로 206 대명빌딩,127.05643,37.5135682
64,여의도KBS 본관,서울특별시 영등포구 국회대로62길 25 교육시설재난공제회관,126.9177055,37.5258891
65,독산,서울특별시 금천구 시흥대로 399 1층 112호,126.897385,37.469434
66,발산역,서울특별시 강서구 마곡중앙6로 93,126.8379486,37.5603203
67,문정역,서울특별시 송파구 법원로 114 현대엠스테이트 C동 119호,127.1202013,37.4846593
68,문래,서울특별시 영등포구 선유로 70,126.9021967,37.5416929
69,삼성,서울특별시 강남구 삼성로 520,127.0566608,37.5067233
70,노량진,서울특별시 동작구 노량진로 166,126.9543166,37.5125967
71,여의도국회의사당,서울특별시 영등포구 국회대로 70길 19,37.52922,126.920798
72,역삼,서울특별시 강남구 테헤란로 25길 20,37.5016179,127.035615
73,강동성심병원,서울특별시 강동구 성안로 147,127.135603,37.537929
74,천호,서울특별시 강동구 올림픽로 664,127.12434,37.54128
