,location_info,location_href,date_time,date_title,main_text
0,,,2022-07-09T02:48:37.000Z,"7월 9, 2022","(광고)느낌있고 감각적인 한 끼 식사 하실래요?
💖을지다락 여의도점💖

""빈티지하고 레트로한"" 인테리어와
통창으로 들어오는 햇살, 🌞
은은한 조명이 어우러지는 공간에
북유럽풍 플레이팅의 퓨전 양식 🍝💗

갈라지는 오므라이스, 매콤크림파스타, 카츠산도 등의 메뉴는 감각적인 플레이팅과 맛이 돋보입니다. 🤗💕

감각적인 맛, 아늑한 다락 같은 공간, 이 곳에 오신 여러분은 다락이들입니다💙

아이들도 먹을 수 있고 좋아하는 메뉴 👨‍👦‍👦👩‍👦‍👦💛
코로나 걱정 없는 넓고 쾌적한 실내 환경 😍
직원 회식, 간담회 식사 등이 가능한 프라이빗한 단체석 룸 👍👍

🧭을지다락 여의도점

주소 : 서울특별시 영등포구 여의나루로 50 지하1층 11호
영업시간 : 매일 11:00~21:00 (브레이크타임 15:30~17:00)
(라스트오더 20:00)
예약전화 : 02-785-1112

#여의도맛집
#더현대맛집
#을지로맛집
#햇살맛집
#서울핫플
#한강데이트
#여의도한강주변맛집
#직장인맛집
#여의도핫플
#여의도한강공원
#여의도맛집추천
#여의도점심
#여의도회식"
1,프루프인더커피,https://www.instagram.com/explore/locations/105966075476732/,2022-07-08T10:39:00.000Z,"7월 8, 2022","예쁘다 예뻐 🥹💛🛋
#프루프인더커피"
2,,,2022-07-08T02:00:54.000Z,"7월 8, 2022","⠀
빛으로 만들어낸 초록 빛의 향연, 클림트와 자연.
구스타프 클림트는 자신의 회화 및 색채를
더욱 풍부하게 만들어줄 주제로 ‘풍경화‘를 선택하였습니다.

내리쬐는 무더운 여름,
구스타프 클림트가 만들어내는 빛의 숲에서
쏟아지는 시원한 초록빛을 온몸으로 즐겨보세요

오직 빛의 시어터에서.

📍전시 기간: ~ 2023년 3월 5일(일)
📍전시 장소: 빛의 시어터
(서울 광진구 워커힐 호텔앤리조트 내 상설 전시관)

📍전시 구성
- 프롤로그 : 몰입형 미디어아트 전시 및 주요 작가, 빛의 시어터 소개
- Long Show (30분): 구스타프 클림트, 골드 인 모션
- Short Show (10분): 이브 클랭, 인피니트 블루
- 컨템포러리 아트 (벌스, 메모리즈 2개, 총 18분)
벌스 및 메모리즈 상영 studio 와 다양한 콘텐츠 체험을 할 수 있는 포토존, 갤러리존, 메자닌 등 공간 구성 🤩

⏰ 관람 시간
[월~목/일요일] 매일 10:00~20:00 (입장 마감 19:00)
[금/토요일] 매일 10:00~21:00 (입장마감 20:00)

🚘 편리한 주차
🚍 편리한 대중교통"
3,,,2022-07-06T07:00:54.000Z,"7월 6, 2022","술 한 잔 하러가기 딱 좋은 핫한 술집💗
내가 딱 #건대핫한술집 총정리해준다!!
@@종강기념 다같이 레고~~
.
.
.
#건대맛집 #건대맛집추천 #건대술집 #건대술집추천 #건대입구맛집 #건대입구술집 #건대입구맛집추천 #건대입구술집추천 #건대핫플 #술집추천 #서울술집추천 #서울핫플"
4,,,2022-07-09T00:10:30.000Z,"7월 9, 2022","#음식제공 #레드인떡볶이 #레드인 @the.red_inn
외관이 너무 귀여웠던 장안동 레드인에서 신메뉴 바질떡볶이랑 김치볶음밥 먹고왔어요 〰 생각보다 양이 많고 너무 맛있었고, 집에서 가까워서 다음엔 하이볼이랑 같이 먹으면 더 맛있을거같아요🤭🤭"
5,런던베이글뮤지엄 도산점,https://www.instagram.com/explore/locations/100782989351948/,2022-07-09T00:27:04.000Z,"7월 9, 2022","⠀
⠀
나의 모기와 절거웠던 빵샤핑🥯
그리고 메모리 부족이 불러온 인태기 극복

#seoulcafe #압구정로데오카페 #런던베이글뮤지엄"
6,,,2022-07-04T09:25:57.000Z,"7월 4, 2022","FOOD & BEVERAGE (F&B)

‘브랜딩’의 중요성이 해가 갈수록 커지는 이때, 브랜드들의 식음료 분야(F&B)로의 진출이 가속화되고 있습니다.

이제는 대중들이 받아들이는 브랜드의 이미지는 단편적이 아니라 입체적일수록 더 호감을 불러일으킬 수 있게 되었고, 입체적으로 브랜드의 이미지를 만들기 위해서는 제품만 판매하는 것이 아니라 브랜드의 히스토리와 방향성, 무드를 경험할 수 있는 공간을 마련하는 것이 중요하게 되었습니다.

브랜드에서 준비한 F&B를 경험함으로써 브랜드의 정체성에 대해 좀 더 쉽게 이해할 수 있고, 구매까지의 장벽이 낮아지는 효과를 낳을 수 있게 되었어요.

오늘은 이름만 들어도 유명한 패션브랜드들의 아이덴티티를 담아 구성한 F&B 공간들을 모아봤습니다. 여러분들은 어떤 브랜드의 공간이 궁금하신가요?

#서울가볼만한곳 #서울핫플 #하우스오브디올 #디올성수 #카페디올 #카페디올성수 #브라이틀링 #브라이틀링타운하우스 #IWC #빅파일럿바 #구찌 #구찌오스테리아 #카페마당 #에르메스도산파크 #아르켓 #아르켓카페 #맨메이드도산 #우영미 #ODD33 #오드삼삼"
7,,,2022-07-09T02:51:47.000Z,"7월 9, 2022","(광고)맛있는거 옆에 멋있는 곳! 🤟
을지로 인쇄소 골목에 갑자기?🙄 하는 곳에
아늑한 다락방, 💛을지다락💛이 있습니다.
인스타감성 뿜뿜한 빈티지하고 레트로한 인테리어와
통창으로 들어오는 햇살, 은은한 조명이 어우러지는 공간에서
북유럽풍 플레이팅의 퓨전 양식을 만나보세요!🙋🙋‍♂️💚

갈라지는 오므라이스, 매콤크림파스타, 카츠산도 등의 메뉴는
핫플답게 감각적인 플레이팅과 맛이 돋보입니다.😋💖

감각적인 맛, 아늑한 다락 같은 공간, 이 곳에 오신 여러분은 다락이들입니다. 👨‍👧‍👦👨‍👦‍👦❣

🧭을지다락

주소 : 서울특별시 중구 수표로 10길 19 4층 을지다락
영업시간 : 매일 11:30~21:00 (브레이크타임 15:00~16:30)
(브레이크 타임 전 라스트오더 14:30)
예약전화 : 070-8844-4484

#을지로맛집
#서울핫플
#을지로데이트
#을지로가볼만한곳
#을지로로컬맛집
#직장인맛집
#오므라이스
#힙지로맛집
#햇살맛집
#을지로핫플
#을지로맛집추천
#을지로빈티지
#을지로인쇄골목"
8,,,2022-07-05T08:17:52.000Z,"7월 5, 2022","도시재생 프로젝트

도시재생은 시간의 흐름에 따라 침체되어가는 지역에 다른 기능을 부여하고 재탄생시켜 새로운 가치를 창출해 내는 프로젝트를 뜻합니다.

낡은 건물이 철거되고, 새로운 건물을 짓는 광경을 우리는 매일 같이 볼 수 있습니다. 우리는 언제나 새로운 것에 눈이 돌아가기 마련이고, 지루해진 것에는 관심을 쏟고 싶어 하지 않습니다.

지루한 것은 더 이상의 가치를 창출하지 못하는 것이고, 우리가 주목하고자 하는 것은 언제나 새로운 ‘가치’이기 때문입니다. 즉 ‘새로운 공간’을 원하는 것 이상으로 ‘새로운 가치를 창출하는 공간’을 원하는 것이죠.

도시재생은, 시간의 흐름이 고스란히 담긴 공간에 현대적인 감각을 불어넣어 그 이상의 가치를 창출하는 프로젝트입니다.

오늘은 새로움 그 이상의 가치를 창출하는 업사이클링 공간들을 모아봤습니다. 어떤 공간이 가장 대중들과 공감되는 공간일까요?

#서울가볼만한곳 #서울핫플 #문화역284 #보안여관 #홍제유연 #듀펠센터 #더숲초소책방 #문화비축기지 #중림창고 #서울책보고 #윤동주문학관 #ODD33 #오드삼삼"
9,,,2022-07-09T06:14:02.000Z,"7월 9, 2022",".
#늦은업뎃
보고싶던 전시회가 있어서 언니한테 급 가자고 연락했더니 흔쾌히 콜해준 언니👍
덕분에 성수동 맛집이랑 카페투어까지ㅎㅎ
더운날 애 둘 데리고 힘들긴 했어도 재밌었다😊
카페 갔다가 하늘이 점점 흐려져서 금방이라도 비 내릴꺼 같아 얼른 유모차 끌고 주차장으로 갔는데~다행히 비 쏟아지기전에 차 타고 전시회 갈수 있어서 날씨요정이 우릴 도운날🤘🏻
.
.
.
.
.
.
.
#성수동맛집 #소바식당 #줄서서먹는열정 #근데식당안은넘더웠다지🥵
#성수동빵집 #옹근달 #박세리빵집
#당장물에들어가고싶은날씨
#물만봐도즐거워하는귀요미들🥰
#아로랑데이트 #종호아로 #서울핫플 #아이랑핫플"
