,location_info,location_href,date_time,daste_title,main_text
0,,,2022-07-20T05:54:59.000Z,"7월 20, 2022","맛이 가격에 비례하지 않다는걸 증명해냈어요. 물가 비싼 강남에서 가성비, 가심비를 모두 충족할 수 있는 곳이에요.

#강남#스테이터

강남에서 14500원에 스테이크를 먹을 수 있는건 행운이에요. 스테이크를 시키면 4가지 플래터가 따라나오는데 구성이 너무 좋아요. 사장님이 정말 남는 게 있을까 싶어 걱정 될 정도에요.

스테이크는 기본으로 미디엄 레어로 나오고 무쇠팬에 취향껏 익혀서 먹으면 돼요. 육즙 가득 스테이크를 계속 따뜻하게 먹을 수 있어서 좋았어요. 입가심으로 에이드 한잔 마셔주면 잘 먹었다. 라는 소리가 자동으로 나와요. 강남 데이트 맛집으로 스테이터 추천해요!

📍서울 강남구 봉은사로 4길 29 1층

#투어_강남#강남맛집#스테이크#고기맛집#스테이크맛집#파스타#감자튀김#강남데이트#강남역#강남역맛집#강남역맛집#강남핫플"
1,Namsangol Hanok Village,https://www.instagram.com/explore/locations/227523221/namsangol-hanok-village/,2022-07-30T09:46:15.000Z,"7월 30, 2022",".
.
#남산한옥마을
#배롱나무
#서울여행
#서울데이트
#서울데이트코스
#namsanhanokvillage
.
Location 🌍
Seoul, South Korea 🇰🇷
Namsan Hanok Village 🌺
.
Even a rough road becomes a flower road when she steps on it 👣💗👣
.
험한 길도 그녀가 밟으면
언제나 꽃길 이어라 👣💗👣
.
한옥과 전통문화 관련하여 본 계정에
소개가 필요 하시면 DM 주세요 📧
(공익적인 의미가 있다고 생각되면
비용없이 진행 됩니다)
.
안녕하세요. 핸드폰 사진 강좌를 진행하는
사진가 빈우입니다. 강좌는 요일에 상관
없이 원하시는 날자에 있는 강좌 스케줄에
맞춰 진행을 합니다. 먼저 신청한 분이
계시면 해당 신청자가 결정한 장소에서
진행이 됩니다. 그리고 자유 강좌여서 원하는
일자와 시간대(오전,오후)를 말씀해주시면
참여일의 강좌 정보를 피드백 드리고 조율
합니다. 하절기 평일과 주말 동일 오전
9~12시,오후 4~7시 두차례 진행을 하고
있습니다. 최근 신청자 분들중 가장 많이
선호하는 장소는 고궁이며 만족도가
높습니다. (고궁의 경우 다양한 문화재와
구조로 사진 구도를 배우는데 최적의
공간 입니다.) 경복궁은 화요일 휴무,
창덕궁과 창경궁 그리고 덕수궁은 월요일
휴무이니 참고 바래요.(고궁 오후 강좌는
야간 관람이 가능한 덕수궁 창경궁
남산골한옥마을에 한해 진행을 하고 있으니
강좌 신청에 참고 하시기 바래요) 수강하시는
분께서서 강의를 원하는 날자와 오전 오후
타임을 톡으로 알려 주시면 기존에 예약된
장소와 시간 정보를 드립니다(만약 해당일에
진행되는 강좌가 없으면 상황에 따라 1:1
강좌로 진행 될수도 있습니다. 그리고 전날
예보상 우천(강수량 70%이상) 시에는
일정이 연기될수도 있으니 참고 바랍니다.
강좌 신청은 프로필 하단의 링크 를(프립)
참고 하시기 바랍니다.
.
일부 사진에 보정 효과가 들어가 있습니다 🎨
공익적인 용도의 사진 사용은
누구나 자유롭게 사용 가능 합니다
단, 사전 허락을 구하고
저작자를 밝히셔야 합니다 ☝️
.
You are free to use photos for the public good.
However, prior authorization must be obtained
and the source of the original photographer
must be indicated.🔥
.
허가 없이 상업적인 사용을 할 수 없습니다
No commercial use without permission 🚫
.
."
2,국립중앙박물관,https://www.instagram.com/explore/locations/107835361403745/,2022-07-26T10:40:27.000Z,"7월 26, 2022",".
.
#서울여행
#서울데이트
#서울가볼만한곳
#국립중앙박물관
#배롱나무꽃
#bluesky
.
Location 🌍
Seoul, South Korea 🇰🇷
National Museum of Korea 📚 📖
.
오늘은 중복 입니다. 몸보신들은
허셨는지 모르겠네요 🐔
서울에도 배롱나무 꽃이
개화 하기 시작 했어요.
국립중앙박물관 호수와 뒷뜰에서
여러분을 활짝 웃는 얼굴로 기다리고
있네요. 한낮엔 아주 더우니 든든한
양산과 마실물을 꼭 지참 하시구요 🌺
.
금일 기준
창덕궁,경복궁,덕수궁, 청운문학도서관,
서울로 7017,국립중앙박물관 배롱나무 꽃이
보기 좋게 개화 했습니다. 그중 가장 힙한
덕수궁 배롱나무 꽃은 금일(26일 화) 대비
석조전 기준 바깥 80% 안쪽 60% 정도
개화 되었으니 가시려고 생각한 분들은
참고 하세요. 개인적으로 오전이나 늦은
오후 추천 드려요 🤗
.
한옥과 전통문화 관련하여 본 계정에
소개가 필요 하시면 DM 주세요 📧
(공익적인 의미가 있다고 생각되면
비용없이 진행 됩니다)
.
안녕하세요. 핸드폰 사진 강좌를 진행하는
사진가 빈우입니다. 강좌는 요일에 상관
없이 원하시는 날자에 있는 강좌 스케줄에
맞춰 진행을 합니다. 먼저 신청한 분이
계시면 해당 신청자가 결정한 장소에서
진행이 됩니다. 그리고 자유 강좌여서 원하는
일자와 시간대(오전,오후)를 말씀해주시면
참여일의 강좌 정보를 피드백 드리고 조율
합니다. 하절기 평일과 주말 동일 오전
9~12시,오후 4~7시 두차례 진행을 하고
있습니다. 최근 신청자 분들중 가장 많이
선호하는 장소는 고궁이며 만족도가
높습니다. (고궁의 경우 다양한 문화재와
구조로 사진 구도를 배우는데 최적의
공간 입니다.) 경복궁은 화요일 휴무,
창덕궁과 창경궁 그리고 덕수궁은 월요일
휴무이니 참고 바래요.(고궁 오후 강좌는
야간 관람이 가능한 덕수궁 창경궁
남산골한옥마을에 한해 진행을 하고 있으니
강좌 신청에 참고 하시기 바래요) 수강하시는
분께서서 강의를 원하는 날자와 오전 오후
타임을 톡으로 알려 주시면 기존에 예약된
장소와 시간 정보를 드립니다(만약 해당일에
진행되는 강좌가 없으면 상황에 따라 1:1
강좌로 진행 될수도 있습니다. 그리고 전날
예보상 우천(강수량 70%이상) 시에는
일정이 연기될수도 있으니 참고 바랍니다.
강좌 신청은 프로필 하단의 링크 를(프립)
참고 하시기 바랍니다.
.
일부 사진에 보정 효과가 들어가 있습니다 🎨
공익적인 용도의 사진 사용은
누구나 자유롭게 사용 가능 합니다
단, 사전 허락을 구하고
저작자를 밝히셔야 합니다 ☝️
.
You are free to use photos for the public good.
However, prior authorization must be obtained
and the source of the original photographer
must be indicated.🔥
.
허가 없이 상업적인 사용을 할 수 없습니다
No commercial use without permission 🚫
.
."
3,,,2022-07-29T11:00:28.000Z,"7월 29, 2022",".
💛성시경의 먹을텐데 LIST💛
성시경의 먹을텐데 맛집만 골라왔엉~😆

음식에 진심인 성시경씨의 맛집이니까
다들 고민말고 가보자고~!

@저장해두고 하나씩 가보자!

#서울맛집 #홍대맛집 #강남맛집 #연남동맛집 #논현동맛집 #논현맛집 #신논현맛집 #신사동맛집 #신사맛집 #가로수길맛집 #이태원맛집 #종로맛집 #잠실맛집 #익선동맛집 #압구정맛집 #서울여행 #서울데이트 #서울핫플 #서울맛집추천 #서울데이트코스 #서울여행코스 #서울먹방"
4,예술의전당 한가람미술관,https://www.instagram.com/explore/locations/101392158799679/,2022-07-30T12:55:28.000Z,"7월 30, 2022","여름방학 아이랑 갈만한곳 1
방학이 시작되었어요.

무언가 해주고는 싶은데
어디가면 좋을지 고민이세요?

영어그림책 작가 앤서니브라운 좋아하세요?
#앤서니브라운전 추천해요.

#관람팁
📢미리 앤서니브라운 책 읽어보고 가기
📢여유로운 시간 & 무료 도슨트 13시 15시 17시
네이버예약으로 평일권 할인받기(당일사용가능)
성인 2만원-> 1.6만원
소인 1.3만원 ->1.1만원
미술프로그램 + 입장권 다양해요.

📢체험프로그램 활용
영어구연동화 14:20분 16:30분 (10분)
미술체험 프로그램 이용
(엄마와 분리되는 친구 유료 네이버예약가능)
세이프게임 공간이용 (2번째사진)
앤서니브라운 빌리지 (책과 영상 있음)

📢1101 어린이라운지 2시간 놀기
(7세까지 입장가능)
당일티켓이용시 20프로 할인

2022년 8월 31일까지
주소: 앤서니브라운의 원더랜드 뮤지엄전
서울 서초구 남부순환로 2406
오전 10시~19시
월요일 휴무

02-580-1300

사진촬영가능 프레시금지 동영상불가
주차가능 3시간 4000원( 전시관객)

제시쌤 꿀팁 🍯
🎈무료 도슨트 40분 꿀타임 완전추천해요.
🎈앤서니브라운 책 미리읽고 가세요.
🎈4세부터 초등에서 성인까지 모두 추천해요.
🎈7세이상 유료 미술체험 프로그램 추천해요.
🎈1시간 30분 (엄마의 자부타임)
🎈유료 미술체험 프로그램은 헤드폰 🎧 가져가세요.
(유료 2천원 대여도가능)

그리고 마지막 기념품가게 주의 ⚠️
티켓보다 더 비싸게 돈씁니다. ㅋㅋㅋ
곰인형 원숭이인형 2만원대 구매

방학동안 아이랑 갈만한곳을 포스팅할 예정입니다.
좋아요. 저장 해주시면 좋은 곳 다 퍼다드릴께요.

#책육아 에서 #체험육아 가능한 방학
함께 즐거운 곳 나눌께요!!!

#원더랜드뮤지엄 #서울전시회 #서울데이트
#여름방학즐기기 #아이랑갈만한곳 #서초동

블로그에도 포스팅할께요.
@artcenterida 요기참고하세요."
5,,,2022-07-30T12:06:41.000Z,"7월 30, 2022","[드디어 김포공항에 오픈했다는 핑크뽀짝성지 대공개💗]
산리오 덕후들 누울자리 찾았따,,❤
여기가 바로 귀염템 천국인듯👼
핑크뽀짝 포토존부터 어마무시한 라인업까지
구경하면서 꿀데이트하기 딱💗
@@귀여운 나 여기 데려다주라
⠀
-
⠀
❤️ #산리오마켓
📍 토이저러스 롯데몰 김포공항점
⠀
-
⠀
#서울핫플 #서울핫플레이스 #서울데이트 #서울가볼만한곳 #서울쇼핑"
6,서울,https://www.instagram.com/explore/locations/213094191/,2022-07-30T12:18:52.000Z,"7월 30, 2022","💜신도림의 자랑, 고동함박💜
#광고 #고동함박 #영등포맛집 #신도림맛집 #신도림 #저장각✔️
.
수제함박에 환장한다면 무조건 주목해보자.
리얼 갓 구운 육즙 가득 100% 국내산 수제함박스테이크다.
근사한 분위기와 최고의 맛을 선사한다.
신도림에 간다면 꼭 한번 들러보자.
.
신도림역 근처에 위치한 함박스테이크 맛집 고동함박입니다. 외관이 예쁘고 내부 인테리어도 고급져 데이트 장소로도 제격일 듯 합니다.
.
주문한 메뉴는
로제함박(11.9)
고동함박(8.9)
함박파스타(13.9)
쫄면(7.9) 입니다🥰
.
우선 모든 함박스테이크를 반 갈랐을때 맺혀있는 육즙에 눈을 뗄 수 없었습니다. 정말 부드럽고 촉촉하더라구요😊 다양한 종류의 함박을 즐길 수 있다는 점이 좋았습니다🥰
.
신도림에서 세상 맛난 함박을 찾으신다면 고동함박 추천드립니다😊💛
.
식당명: 고동함박 @godonghambak
주소: 서울 영등포구 경인로72길 6 1층 고동함박
.
.
#신도림역맛집 #신도림맛집추천 #신도림고기집 #신도림데이트 #영등포역맛집 #영등포타임스퀘어맛집"
7,,,2022-07-24T01:07:18.000Z,"7월 24, 2022","[데이트하기 좋은 서울무료데이트 26곳 대공개💗]
주머니 가볍게 0원으로도 꿀데이트 즐기기 가능!😆
@@지갑은 두고 나오기만 해

-

#서울핫플 #서울데이트 #서울데이트코스 #서울핫플레이스 #서울무료전시 #서울가볼만한곳"
8,인왕산,https://www.instagram.com/explore/locations/103857045544439/,2022-07-29T13:15:19.000Z,"7월 29, 2022","#등산스타그램 #인왕산 .
.
진짜 과장 좀 보태서 100번 가까이 가본 인왕산,,,역시 힐링❤️
퇴근하고 조금만 서두르면 30분 만에
예쁜 일몰과 서울에 야경까지 한 눈에 볼 수 있는
이곳은 가성비 갑, 서울의 보물 인왕산임니댜🎁
아직도 안가본 사람이 있다면 꼬오옥 추천합니댜!!

얼굴 몸매 성격 모두 d지게 좋은
소중한 보라&몌 언니랑 수다떨면서 후다닥 다녀왔어요😇😇
(사실 우리의 주 목적은 김진목삼,,)
하산하고도 고기 얘기밖에 안한 우리 레전드..ㅎㅎㅎ
집에 오면서 많은 생각이 들었는데 다음주에 시간 되면
인왕이 한 번 더 다녀와야겠어요🤓

감기약 잘먹고 푹자서 내일 좋은 컨디션으로
42km 꼭 완주해올게요!💓💓ㅎ아쟈쟈..
아맞다 낼도 출근…"
9,,,2022-07-30T16:23:16.000Z,"7월 31, 2022","Everyday 10:00-22:00 OPEN
Reservation Only
-
☎02-966-1090
서울시 동대문구 회기로25길 29, 지하1층
-
예약 문의 @your_shutter-#셀프사진관 #셀프사진 #흑백사진관 #흑백셀프사진관 #흑백셀프사진 #셀프스튜디오 #유어셔터 #포토매틱 #포토이즘 #데이트 #서울데이트코스 #서울데이트 #커플 #커플사진 #커플사진포즈 #우정사진 #우정스냅"
