,location_info,location_href,date_time,daste_title,main_text
0,DMC,https://www.instagram.com/explore/locations/488292747/dmc/,2022-08-17T02:42:47.000Z,"8월 17, 2022","🍤맹구의 중화백반 탐방🍤
#중화백반 #중식맛집 #중식당 #dmc맛집 #저장각
-
맹구가 다녀온 중화백반을 소개해 주려고해 훌쩍💧
-
먼저 중화백반에서 주문한 메뉴는
📍향라새우
📍크림새우
📍중화짜장
📍중화짬뽕
📍중화덮밥
📍파파기
-
먼저 이집 새우요리가 정말 일품이였는데 향라새우는 바삭바삭 살짝 매콤하니 입에서 착착 감기는게 넘 맛났구 크림새우는 크림소스가 꾸덕하고 레몬향도 은은하게 나면서 겉바속촉이였는데 이거 환상적이였어
-
중화짜장 이집 짜장 수준이 엄청 높더라구 춘장도 맛이 깊고 고기도 가득 들어있더라구 느끼하지도 않고 아주 입에서 춤을 추는 맛이였어
-
중화짬뽕 이거 불향이 기분좋게 은은하게 나는게 아주 맛있었는데 해물도 가득 들어있었어 이거 국물 정말 면 다먹고 밥말아 먹고싶은 맛이였어
-
중화덮밥은 중화요리식으로 불향가득 나게 볶은 제육볶음에 볶음밥 계란이 같이 나오는데 이거 정말 점심메뉴로 제격이더라구 고기도 쫀득하고 윤기 좌르르한게 아주 볶음밥이랑 찰떡 궁합이였어
-
파파기는 달달새콤한게 아주 식욕을 폭팔 시키는 맛이였는데 겉은 바삭 속은 촉촉한게 안주로도 제격이고 밥반찬으로도 최고더라구
-
다들 상암에서 뭐먹지 하면 고민할 필요도 없이 중화백반에 가보는걸 정말 강추할게
-
▫️중화백반
▫️ 상암동 12-78

#크림새우 #중식당 #중국집맛집 #중국요리 #짜장면 #짜장면맛집"
1,성수동,https://www.instagram.com/explore/locations/900435633651424/,2022-08-16T11:49:59.000Z,"8월 16, 2022","덮밥계의 신흥강자가 나타났다. 아기자기 팬더뷰로 잡고 맛으로 쐐기를 박는 #hddpandarice

이번에 성수동에 새로생긴 덮밥맛집 hddpandarice!! 아기자기한 팬더뷰를 볼 수 있는 곳인데 인테리어부터 합격. 데이트코스로도 딱이다. 이색메뉴들도 가득하고 가성비도 굳.

여기 덮밥 토핑이 매우 실하다. 두툼한 고기가 정말 넘쳐날 정도로 가득이고 잡내 없이 야들쫄깃한게 완전 밥도둑.마라비빔면은 마라향에 땅콩소스 그리고 당면까지 새콤달콤얼얼한 맛이 중독적이다.

연두부,고기,버섯이 잔뜩 들어간 마파두부밥은 녹찌인한 양념부터 감칠맛있고 연두부여서 식감이 엄청 부드럽다. 중간에 큼지막한 고기도 있어서 쫄깃함까지 완벽. 든든한 한끼를 멋드러지게 즐길 수 있다. 술안주로도 적격!!

✔️위치 : 서울 성동구 서울숲4길 22-7 오리진빌딩 지1층
-> 뚝섬역 8번 출구에서396m

✔️메뉴 : 마파두부밥(13000),차슈덮밥(15000),마라비빔면(13000)

✔️ @hdd_pandarice

#성수동맛집 #중식맛집 #마파두부 #성수동데이트 #뚝섬맛집 #맛집추천 #서울맛집 #덮밥맛집"
2,신도림,https://www.instagram.com/explore/locations/102496145508216/,2022-08-17T13:30:36.000Z,"8월 17, 2022","신도림에 겁나 힙한 술집 등장!!
이를 갈아만든 레전드 닭볶음탕 입니다,, 닭킬러들 환장하는곳🌟

신도림📍#한사발포차 #미식클럽_신도림
🪧디렉터 : 보은 @muckboeun

닭 좋아하고 곱창 좋아하면 저장하십셔!! 환장하게 맛있습니다
곱도리탕, 야채곱창, 전 종류도 있어서 비오는날오기 딱 좋아요ㅎ
우동사리 넣고 1차 푸파하고 완전 밥도둑이라 밥도 개퍼먹음✨
분위기도 힙하고 노래 선곡도 좋아서 술이 술술 들어갑니다!

거짓말 안치고 진짜 매일 소주 5병씩 뿌시는중이예요;;;🫶🏻
먹보은보고 왔다고하면 서비스 나갑니당!! 닭볶음탕 뿌셔주세요

📍위치 신도림역 2번출구
서울 구로구 새말로18길 28 1층 (주차불가)
⏰오후 5시부터 새벽 2시까지 (매주 일요일 휴무)
💸닭볶음탕_33,000원

#신도림맛집 #신도림역맛집 #먹스타그램 #서울맛집 #서울맛집추천 #닭도리탕 #닭볶음탕 #닭볶음탕맛집 #곱도리탕맛집 #신림맛집 #영등포맛집 #여의도맛집 #문래동맛집 #합정맛집 #상수맛집 #홍대맛집 #구로맛집 #시청맛집 #서울대입구맛집 #용산맛집 #존맛"
3,파주시,https://www.instagram.com/explore/locations/353128404762763/,2022-08-17T12:54:11.000Z,"8월 17, 2022","찐득 쫀득 쫄깃 난리난다. 1500원 대왕떡꼬치로 하루종일 기분이 좋아진다. #요것저것

파주에 대왕떡꼬치로 핫한곳이 있다.바로 요것저것!!! 친구가 추천해준 맛집인데 여기 떡꼬치로 줄세운다. 대왕떡꼬치라 양도많고 저렴해서 완전 갓성비 최고. 튀김종류도 다양하고 분식 종류도 다양하다.

떡꼬치는 매운맛과 순한맛중에 고를 수 있는데 둘다 소스가 감칠맛 넘쳐 흐른다. 떡은 쫄깃 쫀득 하니 식감이 넘 매력적이고 바삭함까지 더해져서 계속 들어가는 맛.순한맛은 달달하고 새콤달콤한게 딱 익숙한 학교앞 분식 떡꼬치에 살짝매콤해서 물리지 않는다. 그리고 매운맛은 생각보다 매워서 단맵단맵 최고.

✔️위치 : 경기 파주시 문산읍 문향로 100-2

✔️떡꼬치(1500)

#파주맛집 #분식맛집 #떡꼬치 #떡맛집 #떡볶이맛집 #파주여행"
4,송리단길 SongniDan-gil,https://www.instagram.com/explore/locations/2197339867170927/songnidan-gil/,2022-08-16T00:43:43.000Z,"8월 16, 2022","#서보
한국에서 이런 태국 음식을 먹어볼 수 있는곳은 여기가 유일할거에요,,🫶🏻
대사관에서 현직으로 일하는 셰프가 운영하는 태국음식 전문 식당인데 현지 느낌도 나면서 한국식으로 만들어진 맛이에요!

족발덮밥이랑 새우국밥 두 메뉴만 파는데 저는 족발덮밥을 먹었어요!!
족발이 진짜 야들야들하고 누린내 전혀 안나고 부드러워서 한입 먹자마자 사라졌어요..(??) 족발덮밥 자체가 정말 깔끔하고 정갈한 맛이에요!

각종 약재가 들어가서 그런지 익숙하면서 고급스러운 맛.. 특히 고추라임소스랑 같이 곁들여 먹으면 천상의 맛이에요,,

사장님도 너무 친절해서 여기 제 마음속 태국음식 1호 픽입니다,, 재방문 100000000%!!!"
5,,,2022-08-17T10:49:12.000Z,"8월 17, 2022","시즌마다 강남역에 꼭 가야 하는 이유가 있어요
#강남 #썸띵어바웃커피

이제는 강남역에서 너무너무 유명한 디저트 천국.
특히나 여름 시즌 초당옥수수 라인이 유명한데,
다들 초당옥수수 막차 타세요!

#옥수수스콘 , 썸어커의 초당옥수수 디저트는 굉장히 유명한데
개인적으로는 옥수수 치즈케이크보다 옥수수 스콘을 선호하는 편! 너무 포슬포슬하거나 목이 콱 막히는 퍽퍽한 식감의 스콘 베이스는 좋아하지 않는데 이곳의 스콘은 부드럽게 부서지면서도
적당한 밀도감! 게다가 옥수수 스콘은 커스터드 크림과
옥수수 크림이 한가득 들어가 있는 엄청난 비주얼.
두 가지 크림 모두 매장에서 직접 제조 하신다는데
달달하면서도 무게감이 있는 초당옥수수 커스터드와
옥수수가 톡톡 씹히는 가벼운 질감의 옥수수 크림.
버터리한 스콘과 달달한 크림의 조합은 안 먹을 수 없죠.
#피스타치오치즈케이크 ,
썸어커 치즈케이크 중 가장 좋아하는 메뉴!
3월부터 5월까지 판매하시는 듯한데 올 초 피스타치오의 매력에
빠졌기에 단숨에 최애 등극. 치즈케이크 베이스에는
피스타치오 페이스트가 들어가 있어 꾸덕하고 찐하니 피스타치오 덕후들이라면 꼭 먹어봐야 하는.
우유크림은 산뜻하고 가벼운 편이고 바삭한 피스타치오 크럼블과 피스타치오 분태가 식감을 더한다.
피스타치오 치즈케이크 베이스 자체가 워낙 맛있는데 얼먹하면
훨씬 꾸덕찐득한 질감으로 또 다른 매력을 보인다.

매 시즌마다 계절감과 잘 어울리는 재료를 이용한 디저트를
선보이는 곳이라 주기적으로 방문하게 되는 디저트 맛집!

📝 추천메뉴
옥수수스콘 ₩5,800
피스타치오 치즈케이크 ₩8,500

🌽 썸띵어바웃커피
서울 강남구 강남대로102길 30 1, 2, 3층

📷photo by. @something_about_coffee_
좋은 공간, 맛있는 디저트 같이가요, 함께 먹어요 @sw__eats

#강남역맛집 #강남역카페 #강남역카페추천 #강남역디저트 #스콘맛집 #스콘 #케이크맛집 #먹스타그램 #먹팔"
6,,,2022-08-16T23:21:50.000Z,"8월 17, 2022","#92닭숯불바베큐 #장안동

예전부터 가고 싶었던 곳 드디어 방문
바베큐 치킨이 나오기 전 샐러드가 너무 맛있어서 샐러드에 맥주 한병을 마셨네요🤣🤣

바베큐치킨이 나오고
먹으면서 아주 감탄을 했습니다.

부드럽고 매콤 달콤하면서
불향도 나고 맥주가 술술 들어가네요

보통 치킨 먹고 나면 느끼하고 배부르기만 했는데
여긴 절대 느끼함이 없어서 좋았고 기분 좋게 먹고 나왔습니다.

정말 2차로 맥주 한잔하기 좋은 곳이며
장안동 오시면 한번 챙겨보세요!

붉닭 통 바베큐는 매울 것 같아
저흰 전통 한식 바베큐 시켰습니다^^

챙기세요!!

#서울맛집 #동대문구맛집 #장안동맛집 #장안동 #장한평역맛집 #치킨맛집 #바베큐치킨 #술집 #먹스타그램 #맛스타그램 #쩝쩝박사 #먹스타소통 #치느님 #치킨스타그램 #먹팔 #치맥 #좋반 #맛집스타그램 #맛팔#숯불바베큐"
7,강남역 근처,https://www.instagram.com/explore/locations/645352472/,2022-08-14T08:45:29.000Z,"8월 14, 2022","🍱맹구의 강남 보슬보슬 탐방🍱
#보슬보슬 #강남역맛집 #키토김밥 #김밥맛집 #저장각
-
맹구가 다녀온 보슬보슬을 소개해 주려고해 훌쩍💧
-
먼저 보슬보슬에서 맛본 메뉴는
📍베이컨키토마요
📍묵참키토마요
📍크래미키토
📍보슬키토
📍미니키토모듬3
📍아삭쫄면
📍명란군만두
📍차돌마늘떡볶이야
-
먼저 이집 키토의 맛을 설명해 줄게 그전에 키토는 안에 밥대신 계란지단으로 가득 채운 건강과 맛까지 함께 챙긴 계란폭탄 김밥이더라구
-
베이컨키토마요는 푸짐하게 들어있는 계란지단 가운데에 쫄깃쫄깃한 베이컨이 들어가 씹는맛도 좋구 넘 맛나더라구
-
묵참키토마요는 생방송투데이에 방송되어 더 유명해진 메뉴더라구 맛은안에 씻은 묵은지와 참치가 어우려져 깊은맛이 장난이 아니더라구 이거 정말 대박이였어
-
크래미키토는 부드러운 크래미살과 미나리와 당근이 잘 어울어 지는게 일품이더라구
-
보슬키토는 당근과미나리로 채워진 이집의 대표메뉴인데 정말 칼로리 걱정없이 맛나게 먹을수 있어 넘 좋았던거 같아
-
미니키토모음3는 묵참키토마요+트러플키토마요+베이컨키토마요인데 위에 설명했던 키토들이 작아진 버전이라 보면돼
-
아삭쫄면 식감이 아삭한 야채들이 듬뿍 들어있고 소스가 새콤달콤한게 아주 입맛을 돋궈 주더라구
-
명란군만두 이거정말 아주 고기랑 명란이랑 잘 어울어져서 깊은맛이 나는게 일품이였어
-
이집 차돌떡볶이도 빠지면 섭하지 차돌이 치즈와 같이 정말 가득 들어있는데 양도 푸짐하고 넘 맛있었어
-
이집 정말 키토가 포슬포슬하고 메뉴도 많구 키토김밥이 하나하나 다 개성있고 맛이 좋은게 넘 좋았구 배달포장도 가능하고 그리구 재료소진시 영업종료라하니까 참고하면 좋을것 같아
-
▫️보슬보슬
▫️서울 강남구 테헤란로8길 22

#강남맛집 #역삼역맛집 #역삼맛집 #역삼동맛집 #김밥 #계란김밥"
8,니커버커베이글,https://www.instagram.com/explore/locations/104880112197494/,2022-08-11T23:56:49.000Z,"8월 12, 2022","#니커버커베이글
사실 베이글을 밖에서 먹을일이 거의 없는데 뉴욕에 이어 한국에 2호점을 낸 니커버커베이글이 줄서서 먹는 핫플이란 소식에 냉큼 달려갔읍니다,,🫶🏻 (내돈내산이에요!!!)

뉴욕이 베이글로 진짜 유명한데 뉴욕 베이글 맛집이 한국에 왔다니 너무 궁금하잖아요,,

먹어보니 역시는 역시.. 빵부터 촉촉하고 쫄깃하고 들어간 재료는 완전 싱싱하고 크림치즈는 또 얼마나 맛있게요🤭

약간 서브웨이 재질이라 주문하는게 너무 머리아팠는데.. 일단 제가 먹었던 걸 알려드릴게요!! 이거 제발 먹어주세요ㅠㅠ

📍에브리띵베이글+베이컨파크림치즈
검은깨, 참깨, 약간의 마늘, 양파, 소금을 얹은 베이글에 베이글 최강 조합인 베이컨+파+크림치즈로 선택했어요!!

📍아메리칸글라인더(에그베이글)
햄, 터키, 베이컨, 아메리칸&스위스치즈, 양상추, 토마토가 들어간 베이글로 햄과 쫄깃한 터키가 듬뿍 들어간 육식파를 위한 베이글 샌드위치에요!!"
9,,,2022-08-18T00:25:16.000Z,"8월 18, 2022","6년 전 다녔던 직장에서
내가 참 예뻐라했던 동생이랑
몇 년만에 마주앉아서 두런두런
사는 얘기, 일 얘기, 돈 얘기까지...ㅎㅎ☺️

"" 언니가 그 때 저 사회초년생이고 어렸을 때였는데
저한테 너무 잘해줘서 고마웠어요 ""

이 전에는 알지 못했던 고마운 마음들이
만나서 이야기를 푸니까 술술 나온다

나의 일이 사람을 만나는 일이라 그런게 아니라
나는 이렇게 예쁘고 나와 결이 맞는 사람을 좋아라한다

참 감사하고 따뜻한 인연이라는 생각에
더 예뻐하고 더 아껴줘야지😚

친한 언니 동생의 사이를 넘어서
좋은 파트너로 다시 시작할 수 있도록🫶🏼
⠀
⠀
______________________________
⠀
▪️금융을 디자인합니다, 𝗜𝗔𝗠▪️

•소비습관잡기 | 월급관리 | 목돈관리
•재테크 | 적립식펀드 | 연금준비 | 투자

"" 저와 함께하는 고객님의 재정적 안정과
행복한 삶을 위해 정직하게 일합니다 ""
⠀
______________________________

•𝗠𝗲𝘀𝘀𝗮𝗴𝗲 : 𝟬𝟭𝟬𝟵𝟮𝟵𝟱𝟭𝟰𝟬𝟮
•𝗞𝗮𝗸𝗮𝗼𝘁𝗮𝗹𝗸 : 𝗢𝗽𝗲𝗻 𝗖𝗵𝗮𝘁"
