,location_info,location_href,date_time,daste_title,main_text
0,Changdeokgung,https://www.instagram.com/explore/locations/215301531/changdeokgung/,2022-08-24T10:00:44.000Z,"8월 24, 2022","hotpickorea
.
.
#창덕궁
#서울여행
#서울데이트
#서울가볼만한곳
#changdeokgung
#changdeokgungpalace
.
Location 🌍
Seoul, South Korea 🇰🇷
Changdeokgung Palace 🍁
.
Welcome fall 🍂
I can feel a little cool in the morning and evening after Cheoseo. Another season we'll meet is a heart-throbbing moment 💖
.
어서와 가을 🍂
처서가 지나 아침 저녁으로 조금은
선선한 기운이 느껴지네요.
우리가 만날 또다른 계절이
마음을 설레이게 만드는 순간 입니다.
.
해당 사진은 작년에 촬영된 사진 입니다 📷
.
한옥과 전통문화 관련하여 본 계정에
소개가 필요 하시면 DM 주세요 📧
(공익적인 의미가 있다고 생각되면
비용없이 진행 됩니다)
.
안녕하세요. 핸드폰 사진 강좌를 진행하는
사진가 빈우입니다. 강좌는 요일에 상관
없이 원하시는 날자에 있는 강좌 스케줄에
맞춰 진행을 합니다. 먼저 신청한 분이
계시면 해당 신청자가 결정한 장소에서
진행이 됩니다. 그리고 자유 강좌여서 원하는
일자와 시간대(오전,오후)를 말씀해주시면
참여일의 강좌 정보를 피드백 드리고 조율
합니다. 하절기 평일과 주말 동일 오전
9~12시,오후 5~8시 두차례 진행을 하고
있습니다. 최근 신청자 분들중 가장 많이
선호하는 장소는 고궁이며 만족도가
높습니다. (고궁의 경우 다양한 문화재와
구조로 사진 구도를 배우는데 최적의
공간 입니다.) 경복궁은 화요일 휴무,
창덕궁과 창경궁 그리고 덕수궁은 월요일
휴무이니 참고 바래요.(고궁 오후 강좌는
야간 관람이 가능한 덕수궁 창경궁
남산골한옥마을에 한해 진행을 하고 있으니
강좌 신청에 참고 하시기 바래요) 수강하시는
분께서서 강의를 원하는 날자와 오전 오후
타임을 톡으로 알려 주시면 기존에 예약된
장소와 시간 정보를 드립니다(만약 해당일에
진행되는 강좌가 없으면 상황에 따라 1:1
강좌로 진행 될수도 있습니다. 그리고 전날
예보상 우천(강수량 70%이상) 시에는
일정이 연기될수도 있으니 참고 바랍니다.
강좌 신청은 프로필 하단의 링크를(프립)
참고 하시기 바랍니다.
.
일부 사진에 보정 효과가 들어가 있습니다 🎨
공익적인 용도의 사진 사용은
누구나 자유롭게 사용 가능 합니다
단, 사전 허락을 구하고
저작자를 밝히셔야 합니다 ☝️
.
You are free to use photos for the public good.
However, prior authorization must be obtained
and the source of the original photographer
must be indicated.🔥
.
허가 없이 상업적인 사용을 할 수 없습니다
No commercial use without permission 🚫
.
.
3시간"
1,,,2022-08-24T09:00:35.000Z,"8월 24, 2022","seoultravel
지금 당장 서울을 가야 하는 이유❗
신상 핫플들로 난리난리래👥👥
더 늦기전에 싹 다 다녀오쟈👀✨

같이 핫플 털러다닐 짝꿍@@

#서울가볼만한곳 #8월신상

🔘서울 사람 팔로우👉 @seoultravel
🔘카페 총정리 👉 @cafezle
🔘핫한 팝업스토어모음👉 @popupmate

#서울여행 #팝업스토어 #서울데이트 #서울데이트코스 #신상 #뉴진스팝업스토어 #뉴진스 #밤도깨비야시장 #한강달빛야시장 #에이치덱스팝업스토어 #에이치덱스 #스마일링포켓몬 #노티드팝업스토어 #와릿이즌플래그십스토어 #하이커그라운드 #서울가볼만한곳 #신상팝업스토어
4시간"
2,,,2022-08-23T07:01:30.000Z,"8월 23, 2022","jongro_nolja
🌙9월 1일! 다시 돌아온 #경복궁 #야간개장 🌙
조녜로운 야경도 보구 한복입구 인생샷도 찍자📸
@@나 인생샷 찌거줄 짝꿍 구함><
.
📅관람기간 : 9월 1일(목) ~ 11월 6일(일)
⏰관람시간 : 19:00 ~ 21:30 /입장마감 20:30
📍서울 종로구 사직로 161 경복궁
#경복궁_야간개장
.
.
📌더 많은 데이트 정보는?
@SEOUL_TRENDS
.
.
#서울데이트 #서울데이트코스 #야경데이트 #야경맛집 #종로데이트 #경복궁데이트 #경복궁맛집 #경복궁카페 #데이트코스추천 #한복데이트 #밤산책 #산책스타그램 #인생샷맛집 #경복궁야간개장 #산책코스 #커플스타그램 #서울가볼만한곳 #나들이코스 #가을 #종로가볼만한곳
1일"
3,Tampa Sandwichbar,https://www.instagram.com/explore/locations/1020792184/tampa-sandwichbar/,2022-08-22T10:59:56.000Z,"8월 22, 2022","_h.conte
서울 압구정 도산공원에 등장한 미국식 샌드위치 맛집
@tampa_sandwichbar

연남동에서 신사동으로 새롭게 확장 이전 오픈한 '탬파 샌드위치 바'

2015년 10월, 미국의 대표 휴양지 Florida Tampa를 컨셉으로 오픈한 이곳은 누구나 도심 속 휴양지에 온 것처럼 편안하게 쿠반 샌드위치를 즐길 수 있도록 꾸민 공간입니다.
미국 현지 그대로의 샌드위치 맛을 재연해내 수많은 팬층을 보유하고 있는 것은 물론 입지를 굳게 다져 맛있기로 소문이 자자한 곳인데요.

플로리다식 '탬파 쿠반 샌드위치'와 미국인의 소울푸드로 불리는 뉴욕의 '맥앤치즈 샌드위치', 텍사스의 '풀드 포크 샌드위치' 등을 비롯해 '블루문'과 '버드와이저'등 다양한 종류의 미국 남부식 샌드위치와 맥주를 맛볼 수 있습니다.

개인적으로 '탬파 쿠반 샌드위치'는 꼭 드셔보시기를 추천드립니다. 비주얼적으로는 특별함이 없어 보일지 모르지만 속은 고기와 살라미, 치즈로 가득 채워져 있는데요. 심플하면서도 강력한 맛을 느낄 수 있습니다. 기대이상으로 맛있어서 먹는내내 감탄연발했습니다.

테라스를 포함한 내부는 이전보다 넓고 좌석도 많아졌으며 개방감 넘치는 분위기를 형성하고 있습니다. 포인트 컬러인 블루&옐로우로 공간을 감각적으로 꾸며 시선을 사로잡습니다.

또한, 곳곳에 소품과 액자 그리고 가구가 배치 되어 있어 볼거리를 자랑합니다.

영화 '아메리칸 셰프'를 한번쯤 봤던 분들이라면 누구나 다 아는 그 샌드위치. 먹어보고 싶지 않으셨나요? 이곳에 방문하시면 편안한 분위기 속에서 마음껏 즐길 수 있습니다.

✔️탬파
서울 강남구 언주로168길 5 1층
11:30 - 22:00
15:30 - 17:00 브레이크타임
21:00 라스트오더
월요일 휴무

#탬파 #탬파샌드위치바 #tampasandwich
수정됨 · 1일"
4,,,2022-08-24T02:34:48.000Z,"8월 24, 2022","seoulplanet
.
🧡 익선동 ""이경문순대곱창"" 🧡
순대곱창하면 바로 떠오를 만큼
맛있는 찐맛집이야!!😲

양도 혜자스럽고 가격도
착해서 웨이팅맛집이라구!!

잘 먹는 친구랑 어서가서
먹부림 하고 오도록 해!!🖐

@같이 먹으러 갈 친구 소환!!

📌서울 종로구 돈화문로11나길 5


#서울맛집 #홍대맛집 #강남맛집 #연남동맛집 #논현동맛집 #논현맛집 #신논현맛집 #신사동맛집 #신사맛집 #가로수길맛집 #이태원맛집 #종로맛집 #잠실맛집 #익선동맛집 #압구정맛집 #서울핫플 #서울데이트 #홍대핫플 #서울가볼만한곳 #서울핫플레이스
11시간"
5,미어캣족장,https://www.instagram.com/explore/locations/147140152551568/,2022-08-24T04:40:41.000Z,"8월 24, 2022","meerkatchief
🌈TV동물농장출연🦝라쿤앙꼬 #건대 #미어캣족장
.
.
.
#건대입구 #건대데이트 #건대핫플 #건대카페 #건대맛집 #건대가볼만한곳 #건대놀거리 #커먼그라운드 #어린이대공원 #서울핫플 #서울데이트 #서울여행 #미어캣카페 #seoul #seoultravel #cat #catstagram #raccoon
9시간"
6,서울역,https://www.instagram.com/explore/locations/102705568925259/,2022-08-21T06:15:23.000Z,"8월 21, 2022","here_dongwon
남산의 풍경이 잔뜩 보이는 카페를 찾았다 !
날씨 맑은날 여기오면 서울구경 다 할수있음.
@다음주 주말에 가자 !

☁️#서울로ph
✔️서울 중구 만리재로 211 11층 1호
✔️비밀 정보는? @today_place_ 👈🏻팔로우 !
_________________________________
포토클래스, 인스타마케팅 클래스 오폰!
초보자도 누구나 쉽게 배울수 있습니다 👍
예약문의는 프로필 링크 눌러주세요 💁🏻‍♂️
수정됨 · 1일"
7,,,2022-08-23T10:02:14.000Z,"8월 23, 2022","seoulhotple
[실시간 더현서에 떴다는 벨리곰팝업 대공개💗]
왕 크니까 왕 귀여운 핑크뽀짝 곰돌이 벨리곰💕
더현대서울 플레이인더박스 핑크풀장에서
바캉스 컨셉으로 준비한 벨캉스 공간을 오픈했대!
올 여름 시원하고 특별하게 보내고싶다면
벨리곰과 함께 벨캉스즐기고 인생샷까지 겟😍
여기서 첫 출시한 벨리곰 신상굿즈도 있다니까
얼른 구경하러 고고@@같이 벨리곰 보러가자

-

💗 #벨리곰 팝업스토어
📍 더현대서울 5층 플레이인더박스
📆 ~9/14 까지
⏰ 10:30 - 20:00
⏰ 10:30 - 20:30 (금~일,공휴일)
✔ 벨리곰 바람개비 선착순 증정(1만원이상 구매시)

-

#더현대서울 #더현대서울팝업 #벨캉스 #어메이징벨리곰 #서울전시회 #서울데이트
1일"
8,"서촌 Seochon Hanok Village, Seoul Korea",https://www.instagram.com/explore/locations/607225924/seochon-hanok-village-seoul-korea/,2022-08-23T11:29:48.000Z,"8월 23, 2022","_h.conte
서촌에 오픈한 향기 브랜드 '코스믹맨션'의 두 번째 쇼룸 @cosmicmansion

나만을 위한 순간을
기분 좋은 감각과 향기로 채워주는 곳

서울 한남동에 이어 서촌에 자리 잡은 이곳은 한옥의 정취를 가득 느낄 수 있는 고즈넉한 분위기와 코스믹맨션만의 무드를 한껏 담은 공간인데요. 향수와 섬유 향수, 핸드크림, 핸드워시, 바디로션 등을 만나볼 수 있습니다. 특히 향수는 하나하나 자유롭게 시향 해보면서 좋아하는 향을 알아가고 찾아볼 수 있습니다.

매장 앞쪽에는 유럽 정원을 연상케하는 정원이 있어 아름다운 수국과 함께 예쁜 사진을 얻기 좋습니다.

좋은 향기가 풍기는 이곳에서 나만의 향을 찾아보세요!

✔️코스믹맨션
서울 종로구 자하문로 52-1, 1층
매일 11:00 - 20:30 ( 추석, 설날 당일 휴무 )

#코스믹맨션 #코스믹맨션서촌 #cosmicmansion
수정됨 · 1일"
9,,,2022-08-24T13:56:28.000Z,"8월 24, 2022","societywrestlingkorea
한국 프로레슬링

프로레슬링 소사이어티!
이번엔 한성대 상상관으로!!!!

🔴일정 : 09월 27일(일) 17시
(입장시간: 16시30분)

🔴위치 : 한성대학교 상상관

1. 6호선창신역3번출구앞 206m
마을버스 종로03번 타고 한성대후문하차
도보218m
한성대학교상상관

2. 4호선 한성대입구역2번출구에서 152m
마을버스 성북02번 승차
한양슈퍼앞 하차
도보142m
한성대학교상상관

🔴티켓가격 :
vip석 : 90석 (현매 : 6만원/ 예매 : 5만원)
A석 : 110석 (현매: 5만원 / 예매 : 4만원)
S석(2층) : 100석 (현매 : 4만원 / 예매 : 3만원)

🔴현장 입장 가능(예매자의 수가 많을 경우 현장입장은 제한될 수 있습니다)

🔴예매 : 850101-00-093879 국민은행
주식회사 오크트리에 입금 후
(입금자 명/인원수/연락처)
DM 혹은 pwsent.com@gmail.com에 전송.

This is it!!

The biggest show of PWS Korea in SEOUL!

🔴27th September Sunday 500pm-
(door open 4 : 30pm)

🔴Location : Hansung University SangSang hall
116, Samseongyo-ro 16-gil, Seongbuk-gu, Seoul

🔴Entrance fee :
-vip : 90 seats (Door payment : 60,000 KRW/ Reservation price : 50,000 KRW)

-A : 110 seats (Door payment: 50,000 KRW / Reservation price : 40,000 KRW)

-S(second floor) : 100seats (Door payment : 40,000 KRW / Reservation price : 30,000 KRW)

🔴Pre ticketing :
- transfer entrance fee to
850101-00-093879 KB BANK
주식회사 오크트리

- send your transfer name/number of people/contact info

to DM or pwsent.com@gmail.com

@minseok_photography

#한성대
#대학로
#데이트
#서울데이트
#격투기
#PWS
#GCW
수정됨 · 1분"
